                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.60735,                  1.431,                 1.0591,                0.33417,                 0.5168,                0.47141,                 0.3094,                 1.0333,                 2.0341,                 1.3338,               0.007525,               0.007525,               0.007525
                     77,                0.64764,                 1.4383,                 1.1002,                0.39717,                0.70595,                0.56085,                0.49393,                0.48331,                 1.6433,                  1.017,               0.007492,               0.007492,               0.007492
                     78,                0.63198,                 1.4141,                 1.0798,                0.45023,                 0.7638,                0.53386,                0.48459,                0.42832,                 1.5668,                0.98353,               0.007459,               0.007459,               0.007459
                     79,                0.61873,                 1.3955,                 1.0738,                0.46293,                0.79299,                0.54099,                0.49374,                0.42065,                 1.5923,                0.99418,               0.007426,               0.007426,               0.007426
                     80,                0.59564,                 1.3753,                 1.0684,                0.47869,                0.77756,                0.55191,                0.49316,                0.43598,                 1.5203,                0.97264,               0.007393,               0.007393,               0.007393
                     81,                0.65128,                 1.4351,                 1.0997,                0.57281,                0.77006,                0.51509,                0.44911,                0.52198,                  1.457,                 1.0058,                0.00736,                0.00736,                0.00736
                     82,                0.62384,                  1.401,                 1.0793,                0.39773,                0.73796,                0.50914,                 0.4268,                0.58549,                 1.4901,                 1.0309,               0.007327,               0.007327,               0.007327
                     83,                0.60201,                 1.4122,                 1.0872,                0.41065,                0.71973,                0.45601,                0.41577,                0.41957,                 1.6987,                0.98126,               0.007294,               0.007294,               0.007294
                     84,                0.60046,                 1.4019,                 1.0696,                 0.4622,                0.85227,                0.56884,                0.50959,                0.40149,                 1.3354,                 0.9763,               0.007261,               0.007261,               0.007261
                     85,                0.57659,                  1.354,                 1.0384,                0.41764,                0.80007,                0.57686,                0.53096,                0.40039,                 1.3715,                0.94895,               0.007228,               0.007228,               0.007228
                     86,                0.61313,                 1.3856,                 1.0739,                0.40875,                0.73642,                0.59133,                0.51129,                 0.4898,                 1.3433,                 1.0188,               0.007195,               0.007195,               0.007195
                     87,                0.59488,                 1.3492,                 1.0558,                0.50757,                0.82877,                0.56433,                0.51674,                0.40545,                  1.518,                0.95653,               0.007162,               0.007162,               0.007162
