                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.47612,                0.89915,                0.95805,                0.65746,                0.68973,                0.69837,                0.65382,                0.33477,                0.88375,                0.83018,               0.005578,               0.005578,               0.005578
                    136,                0.46524,                0.89201,                0.94061,                0.53943,                0.84454,                0.70867,                0.67057,                0.34655,                0.96654,                0.84554,               0.005545,               0.005545,               0.005545
                    137,                0.48158,                0.93619,                0.95466,                0.56037,                0.87922,                  0.694,                0.65598,                0.33822,                0.88615,                0.84542,               0.005512,               0.005512,               0.005512
                    138,                0.48201,                0.91277,                0.95365,                0.54964,                0.82979,                0.64236,                0.60896,                0.35143,                 1.0071,                0.83981,               0.005479,               0.005479,               0.005479
                    139,                0.46744,                0.91052,                0.93817,                0.73203,                0.62027,                0.69351,                0.65495,                0.35063,                0.94308,                0.84677,               0.005446,               0.005446,               0.005446
                    140,                 0.4719,                0.91327,                0.94094,                0.49116,                0.81611,                0.68271,                0.63815,                 0.3369,                0.92294,                0.83803,               0.005413,               0.005413,               0.005413
                    141,                0.46472,                0.92038,                0.95017,                0.52285,                0.81634,                0.65465,                0.60477,                0.35147,                 1.0435,                 0.8489,                0.00538,                0.00538,                0.00538
                    142,                0.46098,                 0.8908,                0.94089,                0.55808,                0.80452,                0.65318,                0.61575,                0.33022,                 1.0035,                0.83496,               0.005347,               0.005347,               0.005347
                    143,                0.47642,                0.93263,                0.94698,                0.54323,                0.84225,                0.68161,                 0.6391,                0.33146,                 1.1346,                0.83173,               0.005314,               0.005314,               0.005314
                    144,                0.44801,                0.90105,                0.93219,                 0.6949,                0.69081,                0.69799,                0.65793,                 0.3506,                0.86948,                0.83477,               0.005281,               0.005281,               0.005281
                    145,                0.46588,                0.89906,                0.94862,                0.60348,                0.74862,                0.70603,                0.66497,                0.32832,                0.91477,                0.84016,               0.005248,               0.005248,               0.005248
                    146,                0.46656,                0.90735,                0.94346,                0.57793,                0.76458,                0.70318,                0.66258,                0.33584,                0.93019,                0.84752,               0.005215,               0.005215,               0.005215
                    147,                0.46007,                0.87817,                0.93432,                0.55168,                0.85636,                0.68894,                 0.6465,                0.33479,                0.94106,                0.84455,               0.005182,               0.005182,               0.005182
                    148,                0.45882,                 0.8938,                0.94032,                0.47767,                0.85755,                0.69893,                0.65886,                0.32591,                0.99014,                0.83689,               0.005149,               0.005149,               0.005149
                    149,                0.45458,                0.89407,                0.93946,                0.58342,                0.76158,                0.68062,                 0.6424,                0.30598,                0.90172,                0.82878,               0.005116,               0.005116,               0.005116
                    150,                0.44659,                0.89208,                0.94448,                0.50516,                0.89203,                0.69818,                0.66131,                0.32001,                0.97249,                0.84027,               0.005083,               0.005083,               0.005083
                    151,                0.47151,                0.89647,                0.94943,                0.54361,                0.85201,                 0.7016,                0.66864,                0.32643,                0.82249,                0.83587,                0.00505,                0.00505,                0.00505
                    152,                0.45049,                0.90199,                0.92971,                0.58047,                0.76008,                0.68743,                0.65359,                0.31774,                0.84824,                0.83267,               0.005017,               0.005017,               0.005017
                    153,                0.46843,                0.89536,                0.94416,                0.56117,                 0.8219,                0.70006,                0.65502,                0.34355,                 0.8636,                0.83487,               0.004984,               0.004984,               0.004984
                    154,                0.47166,                0.92418,                 0.9387,                0.63042,                0.74311,                0.70986,                0.66461,                0.36559,                0.84857,                0.85463,               0.004951,               0.004951,               0.004951
                    155,                  0.466,                0.88113,                0.94462,                0.56767,                0.87063,                0.71041,                0.67212,                0.33206,                0.85966,                0.83619,               0.004918,               0.004918,               0.004918
                    156,                0.48064,                0.89108,                0.95135,                0.50605,                0.87594,                0.69267,                0.64262,                0.35356,                 0.9832,                0.84336,               0.004885,               0.004885,               0.004885
                    157,                 0.4437,                0.84006,                0.92888,                0.55611,                0.85297,                 0.6886,                0.65335,                0.32145,                0.84985,                0.83425,               0.004852,               0.004852,               0.004852
                    158,                0.44166,                0.82302,                0.93073,                0.52921,                  0.864,                0.70479,                0.66568,                 0.3325,                 1.0027,                0.83953,               0.004819,               0.004819,               0.004819
